plotName,treatmentName,mean ndvi,max crop height m nir-based
1154,B.carinata,0.8313698768615723,0.27338468122536597
1311,B.carinata,0.8393587470054626,0.37536268106163106
1311,B.carinata,0.8393587470054626,0.37536268106163106
1154,B.carinata,0.8313698768615723,0.27338468122536597
1154,B.carinata,0.8313698768615723,0.27338468122536597
1154,B.carinata,0.8313698768615723,0.27338468122536597
1223,B.carinata,0.8293175101280212,
1223,B.carinata,0.8293175101280212,
1223,B.carinata,0.8293175101280212,
1311,B.carinata,0.8393587470054626,0.37536268106163106
1223,B.carinata,0.8293175101280212,
1311,B.carinata,0.8393587470054626,0.37536268106163106
1223,B.carinata,0.8293175101280212,
1154,B.carinata,0.8313698768615723,0.27338468122536597
1311,B.carinata,0.8393587470054626,0.37536268106163106
1205,B.juncea,0.7859139442443848,0.7097377840453873
1116,B.juncea,0.7968717217445374,0.6496907945438579
1336,B.juncea,0.8162733912467957,0.9103230173445809
1205,B.juncea,0.7859139442443848,0.7097377840453873
1205,B.juncea,0.7859139442443848,0.7097377840453873
1336,B.juncea,0.8162733912467957,0.9103230173445809
1205,B.juncea,0.7859139442443848,0.7097377840453873
1116,B.juncea,0.7968717217445374,0.6496907945438579
1205,B.juncea,0.7859139442443848,0.7097377840453873
1116,B.juncea,0.7968717217445374,0.6496907945438579
1336,B.juncea,0.8162733912467957,0.9103230173445809
1116,B.juncea,0.7968717217445374,0.6496907945438579
1336,B.juncea,0.8162733912467957,0.9103230173445809
1116,B.juncea,0.7968717217445374,0.6496907945438579
1336,B.juncea,0.8162733912467957,0.9103230173445809
1204,NAM-38,0.8197752833366394,0.8451617606027639
1132,NAM-38,0.8199523091316223,1.6600094993899006
1132,NAM-38,0.8199523091316223,1.6600094993899006
1204,NAM-38,0.8197752833366394,0.8451617606027639
1132,NAM-38,0.8199523091316223,1.6600094993899006
1204,NAM-38,0.8197752833366394,0.8451617606027639
1204,NAM-38,0.8197752833366394,0.8451617606027639
1327,NAM-38,0.8060711026191711,0.5903820623590832
1327,NAM-38,0.8060711026191711,0.5903820623590832
1327,NAM-38,0.8060711026191711,0.5903820623590832
1132,NAM-38,0.8199523091316223,1.6600094993899006
1204,NAM-38,0.8197752833366394,0.8451617606027639
1327,NAM-38,0.8060711026191711,0.5903820623590832
1132,NAM-38,0.8199523091316223,1.6600094993899006
1327,NAM-38,0.8060711026191711,0.5903820623590832
1356,NAM-78,0.8131688237190247,1.1519264821855586
1201,NAM-78,0.837590754032135,0.5962836548870314
1124,NAM-78,0.8320037126541138,0.9441602658640704
1356,NAM-78,0.8131688237190247,1.1519264821855586
1356,NAM-78,0.8131688237190247,1.1519264821855586
1356,NAM-78,0.8131688237190247,1.1519264821855586
1201,NAM-78,0.837590754032135,0.5962836548870314
1201,NAM-78,0.837590754032135,0.5962836548870314
1356,NAM-78,0.8131688237190247,1.1519264821855586
1201,NAM-78,0.837590754032135,0.5962836548870314
1201,NAM-78,0.837590754032135,0.5962836548870314
1124,NAM-78,0.8320037126541138,0.9441602658640704
1124,NAM-78,0.8320037126541138,0.9441602658640704
1124,NAM-78,0.8320037126541138,0.9441602658640704
1124,NAM-78,0.8320037126541138,0.9441602658640704
1114,NAM-15,0.8257452845573425,1.0549315448393486
