plotName,treatmentName,x,y
1109S,NAM-30,1.708756316,0.955166637
1202S,NAM-30,2.614761645,1.202440702
1202N,NAM-30,2.240479507,1.182132996
1202S,NAM-30,2.614761645,1.202440702
1301N,NAM-30,1.361008199,1.44828141
1109N,NAM-30,1.695774648,1.055795417
1301N,NAM-30,1.361008199,1.44828141
1109N,NAM-30,1.695774648,1.055795417
1206S,NAM-13,1.757762499,0.960043463
1205N,NAM-13,1.575560594,0.633500163
1111S,NAM-13,1.682853027,0.319028471
1111N,NAM-13,2.192731253,0.676546636
1308S,NAM-13,,
1308S,NAM-13,,
1111S,NAM-13,1.682853027,0.319028471
1308N,NAM-13,1.616123233,1.717489909
1308S,NAM-13,,
1308N,NAM-13,1.616123233,1.717489909
1206S,NAM-13,1.757762499,0.960043463
1205N,NAM-13,1.575560594,0.633500163
1206S,NAM-13,1.757762499,0.960043463
1308N,NAM-13,1.616123233,1.717489909
1308N,NAM-13,1.616123233,1.717489909
1308N,NAM-13,1.616123233,1.717489909
1111N,NAM-13,2.192731253,0.676546636
1205N,NAM-13,1.575560594,0.633500163
1111N,NAM-13,2.192731253,0.676546636
1308S,NAM-13,,
1206S,NAM-13,1.757762499,0.960043463
1308S,NAM-13,,
1111S,NAM-13,1.682853027,0.319028471
1205N,NAM-13,1.575560594,0.633500163
1111S,NAM-13,1.682853027,0.319028471
1205N,NAM-13,1.575560594,0.633500163
1111N,NAM-13,2.192731253,0.676546636
1111S,NAM-13,1.682853027,0.319028471
1111N,NAM-13,2.192731253,0.676546636
1206S,NAM-13,1.757762499,0.960043463
1111N,NAM-13,2.192731253,0.676546636
1111S,NAM-13,1.682853027,0.319028471
1211N,NAM-43,0.744654285,0.997495265
1211S,NAM-43,2.70541951,1.238390961
1101N,NAM-43,1.785724212,0.940008407
1304N,NAM-43,1.608065666,1.842012959
1101N,NAM-43,1.785724212,0.940008407
1304N,NAM-43,1.608065666,1.842012959
1304S,NAM-43,,
1101S,NAM-43,2.109774044,1.517639752
1304N,NAM-43,1.608065666,1.842012959
1101N,NAM-43,1.785724212,0.940008407
1101S,NAM-43,2.109774044,1.517639752
1211N,NAM-43,0.744654285,0.997495265
1211S,NAM-43,2.70541951,1.238390961
1211S,NAM-43,2.70541951,1.238390961
1211S,NAM-43,2.70541951,1.238390961
1304S,NAM-43,,
1304N,NAM-43,1.608065666,1.842012959
1101N,NAM-43,1.785724212,0.940008407
1101N,NAM-43,1.785724212,0.940008407
1211N,NAM-43,0.744654285,0.997495265
1211N,NAM-43,0.744654285,0.997495265
1101S,NAM-43,2.109774044,1.517639752
1101S,NAM-43,2.109774044,1.517639752
1304S,NAM-43,,
1304S,NAM-43,,
1101S,NAM-43,2.109774044,1.517639752
1304S,NAM-43,,
1304N,NAM-43,1.608065666,1.842012959
1101S,NAM-43,2.109774044,1.517639752
1101N,NAM-43,1.785724212,0.940008407
1211N,NAM-43,0.744654285,0.997495265
1211S,NAM-43,2.70541951,1.238390961
1207S,YN04-C1213,2.70646184,0.904670762
1311S,YN04-C1213,1.188589001,0.706528748
1311S,YN04-C1213,1.188589001,0.706528748
1311S,YN04-C1213,1.188589001,0.706528748
1311S,YN04-C1213,1.188589001,0.706528748
1311S,YN04-C1213,1.188589001,0.706528748
1207N,YN04-C1213,1.829140393,1.286713329
1105N,YN04-C1213,0.83498823,0.902892974
1105N,YN04-C1213,0.83498823,0.902892974
1207N,YN04-C1213,1.829140393,1.286713329
1106S,YN04-C1213,2.100122679,0.997111916
1105N,YN04-C1213,0.83498823,0.902892974
1106S,YN04-C1213,2.100122679,0.997111916
1106S,YN04-C1213,2.100122679,0.997111916
1311N,YN04-C1213,1.297575061,0.515798928
1207S,YN04-C1213,2.70646184,0.904670762
1207S,YN04-C1213,2.70646184,0.904670762
1105N,YN04-C1213,0.83498823,0.902892974
1311N,YN04-C1213,1.297575061,0.515798928
1207N,YN04-C1213,1.829140393,1.286713329
1207S,YN04-C1213,2.70646184,0.904670762
1106S,YN04-C1213,2.100122679,0.997111916
1311N,YN04-C1213,1.297575061,0.515798928
1207N,YN04-C1213,1.829140393,1.286713329
1207N,YN04-C1213,1.829140393,1.286713329
1311N,YN04-C1213,1.297575061,0.515798928
1106S,YN04-C1213,2.100122679,0.997111916
1207S,YN04-C1213,2.70646184,0.904670762
1105N,YN04-C1213,0.83498823,0.902892974
1105N,YN04-C1213,0.83498823,0.902892974
1106S,YN04-C1213,2.100122679,0.997111916
1311N,YN04-C1213,1.297575061,0.515798928
1209N,NAM-46,1.481004347,0.410583843
1102S,NAM-46,1.043736788,1.051057347
1209S,NAM-46,1.388203064,0.701743789
1102N,NAM-46,1.034688654,1.032802067
1314N,NAM-46,,
1102S,NAM-46,1.043736788,1.051057347
1102S,NAM-46,1.043736788,1.051057347
1102N,NAM-46,1.034688654,1.032802067
1314S,NAM-46,2.536758094,1.026185936
1314N,NAM-46,,
1102S,NAM-46,1.043736788,1.051057347
1102N,NAM-46,1.034688654,1.032802067
1102N,NAM-46,1.034688654,1.032802067
1314S,NAM-46,2.536758094,1.026185936
1209S,NAM-46,1.388203064,0.701743789
1209S,NAM-46,1.388203064,0.701743789
1209S,NAM-46,1.388203064,0.701743789
1314N,NAM-46,,
1314N,NAM-46,,
1209N,NAM-46,1.481004347,0.410583843
1209N,NAM-46,1.481004347,0.410583843
1314S,NAM-46,2.536758094,1.026185936
1314S,NAM-46,2.536758094,1.026185936
1209S,NAM-46,1.388203064,0.701743789
1102N,NAM-46,1.034688654,1.032802067
1209N,NAM-46,1.481004347,0.410583843
1102N,NAM-46,1.034688654,1.032802067
1314N,NAM-46,,
1102S,NAM-46,1.043736788,1.051057347
1314S,NAM-46,2.536758094,1.026185936
1209N,NAM-46,1.481004347,0.410583843
1102S,NAM-46,1.043736788,1.051057347
1213N,NAM-0,,
1116S,NAM-0,1.988128902,1.522745101
1116S,NAM-0,1.988128902,1.522745101
1315S,NAM-0,2.176120883,0.943328217
1315N,NAM-0,2.25357984,0.643016205
1205S,NAM-0,2.212300021,1.260931612
1315N,NAM-0,2.25357984,0.643016205
1315S,NAM-0,2.176120883,0.943328217
1116S,NAM-0,1.988128902,1.522745101
1116N,NAM-0,2.083147089,1.263005942
1205S,NAM-0,2.212300021,1.260931612
1213N,NAM-0,,
1315N,NAM-0,2.25357984,0.643016205
1205S,NAM-0,2.212300021,1.260931612
1213N,NAM-0,,
1116S,NAM-0,1.988128902,1.522745101
1213N,NAM-0,,
1116N,NAM-0,2.083147089,1.263005942
1315N,NAM-0,2.25357984,0.643016205
1315S,NAM-0,2.176120883,0.943328217
1315N,NAM-0,2.25357984,0.643016205
1116N,NAM-0,2.083147089,1.263005942
1213N,NAM-0,,
1116N,NAM-0,2.083147089,1.263005942
1205S,NAM-0,2.212300021,1.260931612
1116N,NAM-0,2.083147089,1.263005942
1116S,NAM-0,1.988128902,1.522745101
1205S,NAM-0,2.212300021,1.260931612
1315S,NAM-0,2.176120883,0.943328217
1315S,NAM-0,2.176120883,0.943328217
1306S,NAM-37,1.025009792,1.133648798
1203N,NAM-37,1.651114591,1.492805168
1203S,NAM-37,1.50175358,1.736822192
1305N,NAM-37,,
1103S,NAM-37,2.438570533,1.336298966
1306S,NAM-37,1.025009792,1.133648798
1306S,NAM-37,1.025009792,1.133648798
1103N,NAM-37,2.247257254,0.623785886
1103N,NAM-37,2.247257254,0.623785886
1103S,NAM-37,2.438570533,1.336298966
1103N,NAM-37,2.247257254,0.623785886
1103S,NAM-37,2.438570533,1.336298966
1203N,NAM-37,1.651114591,1.492805168
1203S,NAM-37,1.50175358,1.736822192
1305N,NAM-37,,
1306S,NAM-37,1.025009792,1.133648798
1103S,NAM-37,2.438570533,1.336298966
1305N,NAM-37,,
1103S,NAM-37,2.438570533,1.336298966
1305N,NAM-37,,
1203S,NAM-37,1.50175358,1.736822192
1103N,NAM-37,2.247257254,0.623785886
1203N,NAM-37,1.651114591,1.492805168
1203S,NAM-37,1.50175358,1.736822192
1103N,NAM-37,2.247257254,0.623785886
1305N,NAM-37,,
1103S,NAM-37,2.438570533,1.336298966
1103N,NAM-37,2.247257254,0.623785886
1203N,NAM-37,1.651114591,1.492805168
1203N,NAM-37,1.651114591,1.492805168
1203S,NAM-37,1.50175358,1.736822192
1306S,NAM-37,1.025009792,1.133648798
G1,N/A,1.153821109,1.308081656
G3,N/A,1.984101032,1.425534507
G6,N/A,0.987101736,1.278597891
G2,N/A,1.026819913,1.009451288
G5,N/A,1.230371437,1.426950313
G6,N/A,0.987101736,1.278597891
G6,N/A,0.987101736,1.278597891
G4,N/A,1.825295138,1.116966389
G6,N/A,0.987101736,1.278597891
G6,N/A,0.987101736,1.278597891
G2,N/A,1.026819913,1.009451288
G5,N/A,1.230371437,1.426950313
G2,N/A,1.026819913,1.009451288
G3,N/A,1.984101032,1.425534507
G4,N/A,1.825295138,1.116966389
G5,N/A,1.230371437,1.426950313
G1,N/A,1.153821109,1.308081656
G1,N/A,1.153821109,1.308081656
G1,N/A,1.153821109,1.308081656
G4,N/A,1.825295138,1.116966389
G1,N/A,1.153821109,1.308081656
G5,N/A,1.230371437,1.426950313
G3,N/A,1.984101032,1.425534507
G3,N/A,1.984101032,1.425534507
G5,N/A,1.230371437,1.426950313
G4,N/A,1.825295138,1.116966389
G1,N/A,1.153821109,1.308081656
G2,N/A,1.026819913,1.009451288
G3,N/A,1.984101032,1.425534507
G2,N/A,1.026819913,1.009451288
